variable,description
v2dlcountr_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Respect counterarguments: Sejauh mana elite menunjukkan penghargaan terhadap argumen lawan politik mereka.
v2dlcountr_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Respect counterarguments: Sejauh mana elite menunjukkan penghargaan terhadap argumen lawan politik mereka.
v2dlcountr_ord_codelow,Lower bound of the ordinal scale value - Respect counterarguments: Sejauh mana elite menunjukkan penghargaan terhadap argumen lawan politik mereka.
v2dlcountr_ord_codehigh,Upper bound of the ordinal scale value - Respect counterarguments: Sejauh mana elite menunjukkan penghargaan terhadap argumen lawan politik mereka.
v2dlcountr_mean,Arithmetic mean of raw expert coder ratings - Respect counterarguments: Sejauh mana elite menunjukkan penghargaan terhadap argumen lawan politik mereka. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlcountr_nr,Number of expert coders who rated this country-year - Respect counterarguments: Sejauh mana elite menunjukkan penghargaan terhadap argumen lawan politik mereka. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlconslt,Expert point estimate (Measurement Model point estimate on standardized scale) - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlconslt_codelow,Lower bound of the point estimate (HPD Interval 68%) - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda.
v2dlconslt_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda.
v2dlconslt_sd,Standard deviation of the measurement model output - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda.
v2dlconslt_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda."
v2dlconslt_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda.
v2dlconslt_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda.
v2dlconslt_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda.
v2dlconslt_ord_codelow,Lower bound of the ordinal scale value - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda.
v2dlconslt_ord_codehigh,Upper bound of the ordinal scale value - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda.
v2dlconslt_mean,Arithmetic mean of raw expert coder ratings - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlconslt_nr,Number of expert coders who rated this country-year - Range of consultation: Seberapa luas jangkauan konsultasi pemerintah dengan kelompok sosial yang berbeda. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlengage,Expert point estimate (Measurement Model point estimate on standardized scale) - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlengage_codelow,Lower bound of the point estimate (HPD Interval 68%) - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara.
v2dlengage_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara.
v2dlengage_sd,Standard deviation of the measurement model output - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara.
v2dlengage_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara."
v2dlengage_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara.
v2dlengage_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara.
v2dlengage_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara.
v2dlengage_ord_codelow,Lower bound of the ordinal scale value - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara.
v2dlengage_ord_codehigh,Upper bound of the ordinal scale value - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara.
v2dlengage_mean,Arithmetic mean of raw expert coder ratings - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlengage_nr,Number of expert coders who rated this country-year - Engaged society: Keaktifan masyarakat sipil dalam debat publik yang beradab terkait isu kebijakan negara. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pepwrgen,Expert point estimate (Measurement Model point estimate on standardized scale) - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pepwrgen_codelow,Lower bound of the point estimate (HPD Interval 68%) - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender.
v2pepwrgen_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender.
v2pepwrgen_sd,Standard deviation of the measurement model output - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender.
v2pepwrgen_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender."
v2pepwrgen_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender.
v2pepwrgen_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender.
v2pepwrgen_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender.
v2pepwrgen_ord_codelow,Lower bound of the ordinal scale value - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender.
v2pepwrgen_ord_codehigh,Upper bound of the ordinal scale value - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender.
v2pepwrgen_mean,Arithmetic mean of raw expert coder ratings - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pepwrgen_nr,Number of expert coders who rated this country-year - Power distributed by gender: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan gender. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pepwrsoc,Expert point estimate (Measurement Model point estimate on standardized scale) - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pepwrsoc_codelow,Lower bound of the point estimate (HPD Interval 68%) - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial.
v2pepwrsoc_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial.
v2pepwrsoc_sd,Standard deviation of the measurement model output - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial.
v2pepwrsoc_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial."
v2pepwrsoc_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial.
v2pepwrsoc_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial.
v2pepwrsoc_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial.
v2pepwrsoc_ord_codelow,Lower bound of the ordinal scale value - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial.
v2pepwrsoc_ord_codehigh,Upper bound of the ordinal scale value - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial.
v2pepwrsoc_mean,Arithmetic mean of raw expert coder ratings - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pepwrsoc_nr,Number of expert coders who rated this country-year - Power distributed by social group: Sejauh mana kekuasaan politik terdistribusi merata berdasarkan kelompok etnis/sosial. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2peedueq,Expert point estimate (Measurement Model point estimate on standardized scale) - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2peedueq_codelow,Lower bound of the point estimate (HPD Interval 68%) - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat.
v2peedueq_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat.
v2peedueq_sd,Standard deviation of the measurement model output - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat.
v2peedueq_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat."
v2peedueq_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat.
v2peedueq_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat.
v2peedueq_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat.
v2peedueq_ord_codelow,Lower bound of the ordinal scale value - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat.
v2peedueq_ord_codehigh,Upper bound of the ordinal scale value - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat.
v2peedueq_mean,Arithmetic mean of raw expert coder ratings - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2peedueq_nr,Number of expert coders who rated this country-year - Educational equality: Kesetaraan dalam memperoleh pendidikan berkualitas di antara seluruh lapisan masyarakat. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pehealth,Expert point estimate (Measurement Model point estimate on standardized scale) - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pehealth_codelow,Lower bound of the point estimate (HPD Interval 68%) - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat.
v2pehealth_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat.
v2pehealth_sd,Standard deviation of the measurement model output - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat.
v2pehealth_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat."
v2pehealth_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat.
v2pehealth_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat.
v2pehealth_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat.
v2pehealth_ord_codelow,Lower bound of the ordinal scale value - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat.
v2pehealth_ord_codehigh,Upper bound of the ordinal scale value - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat.
v2pehealth_mean,Arithmetic mean of raw expert coder ratings - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pehealth_nr,Number of expert coders who rated this country-year - Health equality: Kesetaraan dalam memperoleh pelayanan kesehatan berkualitas di antara seluruh lapisan masyarakat. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlunivl,Expert point estimate (Measurement Model point estimate on standardized scale) - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlunivl_codelow,Lower bound of the point estimate (HPD Interval 68%) - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif.
v2dlunivl_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif.
v2dlunivl_sd,Standard deviation of the measurement model output - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif.
v2dlunivl_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif."
v2dlunivl_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif.
v2dlunivl_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif.
v2dlunivl_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif.
v2dlunivl_ord_codelow,Lower bound of the ordinal scale value - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif.
v2dlunivl_ord_codehigh,Upper bound of the ordinal scale value - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif.
v2dlunivl_mean,Arithmetic mean of raw expert coder ratings - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlunivl_nr,Number of expert coders who rated this country-year - Means-tested vs. universalistic policy: Proporsi anggaran negara yang ditujukan untuk kebijakan universal dibandingkan program selektif. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlencmps,Expert point estimate (Measurement Model point estimate on standardized scale) - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlencmps_codelow,Lower bound of the point estimate (HPD Interval 68%) - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu.
v2dlencmps_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu.
v2dlencmps_sd,Standard deviation of the measurement model output - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu.
v2dlencmps_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu."
v2dlencmps_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu.
v2dlencmps_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu.
v2dlencmps_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu.
v2dlencmps_ord_codelow,Lower bound of the ordinal scale value - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu.
v2dlencmps_ord_codehigh,Upper bound of the ordinal scale value - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu.
v2dlencmps_mean,Arithmetic mean of raw expert coder ratings - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2dlencmps_nr,Number of expert coders who rated this country-year - Particularistic or Public good: Sejauh mana belanja sosial ditujukan untuk infrastruktur publik dibanding proyek kelompok tertentu. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clacjust,Expert point estimate (Measurement Model point estimate on standardized scale) - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clacjust_codelow,Lower bound of the point estimate (HPD Interval 68%) - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial.
v2clacjust_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial.
v2clacjust_sd,Standard deviation of the measurement model output - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial.
v2clacjust_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial."
v2clacjust_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial.
v2clacjust_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial.
v2clacjust_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial.
v2clacjust_ord_codelow,Lower bound of the ordinal scale value - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial.
v2clacjust_ord_codehigh,Upper bound of the ordinal scale value - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial.
v2clacjust_mean,Arithmetic mean of raw expert coder ratings - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clacjust_nr,Number of expert coders who rated this country-year - Social class equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelas sosial. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clsocgrp,Expert point estimate (Measurement Model point estimate on standardized scale) - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clsocgrp_codelow,Lower bound of the point estimate (HPD Interval 68%) - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial.
v2clsocgrp_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial.
v2clsocgrp_sd,Standard deviation of the measurement model output - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial.
v2clsocgrp_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial."
v2clsocgrp_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial.
v2clsocgrp_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial.
v2clsocgrp_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial.
v2clsocgrp_ord_codelow,Lower bound of the ordinal scale value - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial.
v2clsocgrp_ord_codehigh,Upper bound of the ordinal scale value - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial.
v2clsocgrp_mean,Arithmetic mean of raw expert coder ratings - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clsocgrp_nr,Number of expert coders who rated this country-year - Social group equality in respect for civil liberties: Seberapa setara perlindungan kebebasan sipil di antara kelompok etnis/sosial. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clsnlpct,Expert point estimate (Measurement Model point estimate on standardized scale) - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clsnlpct_codelow,Lower bound of the point estimate (HPD Interval 68%) - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan.
v2clsnlpct_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan.
v2clsnlpct_sd,Standard deviation of the measurement model output - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan.
v2clsnlpct_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan."
v2clsnlpct_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan.
v2clsnlpct_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan.
v2clsnlpct_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan.
v2clsnlpct_ord_codelow,Lower bound of the ordinal scale value - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan.
v2clsnlpct_ord_codehigh,Upper bound of the ordinal scale value - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan.
v2clsnlpct_mean,Arithmetic mean of raw expert coder ratings - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clsnlpct_nr,Number of expert coders who rated this country-year - Weaker civil liberties population: Proporsi populasi yang hak-hak kebebasan sipilnya dilanggar secara signifikan. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clprptym,Expert point estimate (Measurement Model point estimate on standardized scale) - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clprptym_codelow,Lower bound of the point estimate (HPD Interval 68%) - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki.
v2clprptym_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki.
v2clprptym_sd,Standard deviation of the measurement model output - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki.
v2clprptym_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki."
v2clprptym_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki.
v2clprptym_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki.
v2clprptym_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki.
v2clprptym_ord_codelow,Lower bound of the ordinal scale value - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki.
v2clprptym_ord_codehigh,Upper bound of the ordinal scale value - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki.
v2clprptym_mean,Arithmetic mean of raw expert coder ratings - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clprptym_nr,Number of expert coders who rated this country-year - Property rights for men: Perlindungan hak milik pribadi yang de jure dan de facto aman bagi laki-laki. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
